No	Mag	X	Y
0778	14.16	-268.69	-538.33
0780	15.22	-265.06	-369.65
0781	14.79	-264.84	-323.43
0783	15.94	-255.30	-96.03
0784	16.65	-255.61	-163.24
0785	13.64	-254.78	-292.27
0786	15.74	-254.10	-456.74
0787	14.22	-254.19	-476.55
0789	15.99	-240.60	-620.12
0790	15.26	-236.77	-49.30
0793	11.24	-235.01	-646.57
0794	13.27	-232.06	-621.95
0795	12.49	-226.19	-577.53
0797	14.87	-222.29	-308.60
0801	15.89	-218.96	-545.74
0803	16.11	-214.68	-168.80
0804	16.48	-214.13	-398.06
0805	16.82	-212.13	-244.43
0809	13.15	-206.14	-542.78
0816	15.88	-189.26	-171.29
0819	15.85	-169.18	-542.29
0820	16.51	-163.24	-454.05
0821	13.89	-155.09	-72.39
0823	13.28	-143.48	-496.73
0824	16.01	-136.78	-80.83
0826	16.29	-128.31	-77.86
0828	16.66	-128.13	-622.26
0829	15.53	-125.15	-560.41
0830	15.86	-125.34	-648.69
0832	14.59	-115.88	-204.49
0835	14.91	-105.81	-107.30
0836	12.72	-103.93	-620.50
0837	14.19	-100.24	-150.51
0838	15.92	-96.18	-254.33
0839	15.60	-96.74	-584.48
0843	16.92	-86.14	-164.34
0844	13.75	36.74	-199.79
0850	15.70	-75.43	-604.93
0851	10.25	-74.07	-652.97
0853	16.73	-67.89	-253.17
0854	14.64	-66.23	-45.56
0855	16.47	-66.26	-70.16
0856	15.25	-66.41	-196.17
0857	15.87	-62.14	-169.77
0859	16.01	-56.80	-476.46
0865	15.12	-38.14	-181.19
0866	14.38	-38.19	-262.20
0869	12.30	-35.61	-654.81
0873	15.33	-24.05	-277.81
0874	9.29	-18.50	-591.16
0880	14.44	-4.24	-244.81
0881	20.00	-4.25	-378.64
0882	10.18	-2.83	-355.83
0883	15.69	-1.42	-374.44
0891	14.44	8.53	-571.35
0895	13.87	15.59	-370.84
0897	13.77	16.96	-190.80
0898	13.43	18.45	-430.86
0900	16.11	24.10	-382.24
0901	13.82	25.47	-290.41
0904	16.45	29.67	-187.80
0911	16.00	35.44	-379.23
0912	15.20	38.09	-105.59
0919	14.36	51.07	-421.24
0921	13.05	58.22	-479.46
0927	15.83	70.68	-219.56
0929	14.71	73.88	-505.86
0932	13.67	79.51	-472.83
0933	12.07	81.09	-583.30
0937	13.48	91.56	-19.13
0941	16.48	94.61	-164.93
0942	16.51	96.80	-619.31
0943	14.10	97.44	-160.12
0945	16.38	100.62	-366.55
0947	15.59	103.79	-543.64
0950	16.00	107.27	-131.30
0953	15.73	116.76	-631.29
0955	16.00	118.82	-255.49
0959	14.17	131.69	-316.68
0964	15.70	141.43	-246.44
0966	19.20	145.94	-350.85
0969	14.50	150.01	-284.83
0970	16.30	149.57	-118.01
0974	16.48	162.18	-86.77
0979	13.70	182.54	-278.13
1008	10.49	-538.50	95.62
1023	9.69	-515.03	-260.55
1026	13.43	-509.05	-69.72
1028	10.77	-505.14	50.89
1035	10.04	-492.94	-162.29
1050	13.35	-479.43	-69.98
1062	10.73	-465.05	-380.43
1072	12.73	-457.08	-271.83
1105	13.39	-418.25	0.36
1129	11.83	-405.07	-126.97
1133	6.58	-402.38	-143.79
1142	10.34	-389.56	74.57
1166	7.56	-365.24	-78.63
1169	12.87	-365.54	-125.44
1184	11.85	-348.76	301.15
1187	13.64	-346.51	-15.13
1193	13.11	-344.62	-166.97
1242	20.00	-319.51	-473.24
1257	12.41	-312.80	-287.19
1288	11.86	-287.52	222.77
1299	8.82	-288.64	-547.85
1323	13.93	-275.35	-155.94
1330	13.97	-271.95	-328.80
1336	12.73	-268.24	-444.07
1404	13.94	-237.33	-181.32
1410	8.48	-234.01	-403.39
1438	13.83	-223.20	-181.37
1452	13.87	-216.66	-318.83
1459	12.83	-209.86	360.45
1460	10.60	-213.02	-480.91
1468	13.37	-209.37	-261.24
1497	20.00	-194.80	-140.67
1517	20.00	-184.59	387.37
1588	11.34	-154.31	207.83
1611	12.18	-149.39	-582.57
1669	13.74	-121.85	-348.51
1692	13.55	-107.31	-152.30
1705	12.58	-103.93	-621.10
1728	13.79	-93.15	-135.53
1751	13.79	-84.74	-168.54
1766	13.32	-80.76	-352.78
1802	20.00	-63.44	-67.77
1809	11.86	-61.65	276.65
1858	13.45	-43.38	348.05
1874	12.92	-34.03	-390.64
1901	13.91	15.54	-190.80
1902	14.23	97.44	-160.72
1941	13.42	-4.25	-378.04
1955	9.21	2.80	386.44
1995	12.98	21.09	73.20
2025	11.60	31.28	-552.73
2029	12.90	32.54	-277.21
2030	20.00	33.60	323.44
2074	20.00	52.23	-140.98
2085	12.89	58.22	-479.46
2107	20.00	70.69	-231.57
2109	20.00	70.68	-219.56
2121	11.91	81.09	-583.30
2146	11.92	92.43	304.30
2174	13.45	103.67	284.52
2183	13.55	107.26	-127.10
2189	13.08	111.98	-379.14
2217	11.01	124.76	249.76
2218	10.41	126.51	-535.19
2219	20.00	125.40	-37.66
2233	13.57	132.75	-167.85
2236	9.68	133.18	246.78
2246	20.00	92.43	304.30
2256	13.69	146.94	-190.02
2278	11.27	159.56	335.67
2281	13.23	160.40	43.43
2286	14.62	164.07	-252.38
2307	13.52	182.48	-258.93
2319	13.70	189.57	153.33
2325	13.51	193.94	-300.30
2353	10.13	219.06	-575.16
2369	20.00	227.43	-181.36
2374	20.00	229.76	-405.21
2376	12.57	230.05	211.69
2384	8.84	235.30	300.54
2396	12.45	246.68	-381.73
2418	20.00	258.01	-69.61
2432	12.31	266.89	430.34
2436	13.58	268.81	29.45
2445	20.00	274.26	-222.56
2449	11.82	279.27	189.72
2464	20.00	286.39	-383.36
2476	20.00	294.76	-86.24
2481	13.41	296.44	129.80
2483	20.00	296.74	73.39
2504	13.38	311.60	-326.81
2517	20.00	323.50	-426.39
2529	20.00	295.54	823.31
2538	13.26	328.64	-92.65
2612	20.00	370.80	-67.79
2634	20.00	386.52	-97.09
2665	13.02	399.14	111.84
2673	11.03	412.95	335.22
2676	11.80	417.01	166.59
2680	10.40	421.45	136.01
2686	11.91	425.57	149.25
2692	10.92	435.97	-105.14
2700	9.51	446.70	-391.98
2717	8.51	455.07	149.49
2736	8.03	487.35	-334.02
2743	11.13	489.82	-129.31
2772	8.39	523.40	-96.60
2780	12.82	538.57	-353.99
2799	20.00	561.80	-266.72
2807	10.75	570.22	-118.96
2903	20.00	39.09	477.70
2904	20.00	41.81	566.56
2905	20.00	270.85	189.68
3001	9.77	-694.90	640.91
3002	11.06	-676.71	646.68
3003	9.78	-673.67	-147.85
3004	9.02	-660.80	-498.10
3005	10.01	-655.31	-149.27
3006	11.27	-650.01	306.35
3007	11.06	-658.42	-538.38
3008	12.82	-646.54	363.96
3009	10.42	-657.99	-746.90
3010	17.40	-634.56	309.17
3011	17.43	-640.53	-216.07
3012	13.29	-636.28	33.62
3013	17.73	-609.23	188.80
3016	16.71	-611.39	-532.26
3018	16.02	-609.54	-757.61
3019	16.96	-595.80	263.70
3020	17.17	-589.20	489.41
3022	17.17	-592.73	-380.50
3023	13.86	-588.20	51.70
3024	17.35	-592.20	-465.18
3025	12.71	-574.82	257.47
3026	17.22	-580.09	-255.13
3027	16.39	-579.42	-327.79
3028	15.97	-582.92	-668.91
3029	17.45	-573.08	153.59
3030	17.29	-570.22	432.74
3032	17.39	-573.77	-470.16
