No	Mag	X	Y
2005	12.30	-4416.50	2706.98
2007	11.15	-2846.40	3696.30
2008	10.12	-2812.88	-1187.27
2009	11.13	-2318.07	2002.46
2010	9.31	-1823.79	765.36
2013	10.84	-1969.89	3356.58
2014	11.28	-1620.10	-1316.66
2015	10.48	-1725.01	-177.84
2016	9.94	-1655.58	248.12
2017	10.79	-1454.66	2481.45
2018	9.96	-1534.31	2882.21
2020	9.38	-1256.46	2826.83
2021	11.77	-1513.98	4438.03
2022	11.54	-1353.15	5921.16
2025	11.91	-913.67	1092.07
2026	10.83	-810.50	1143.61
2027	10.66	-987.62	2631.00
2028	9.79	-826.34	2467.04
2029	10.04	-861.10	2824.13
2031	11.67	-579.13	1773.80
2032	11.73	-529.37	1830.75
2038	11.02	-239.25	2261.35
2040	12.82	-143.58	1120.87
2043	14.01	-587.77	1408.56
2044	14.03	-628.16	2129.27
2045	14.83	-382.91	2350.33
2046	14.01	-636.46	2453.89
2047	13.69	-592.29	2224.74
2057	10.16	92.62	951.14
2058	11.24	-14.05	1940.09
2059	9.45	2.96	-1800.95
2064	10.51	490.16	1176.27
2065	10.74	578.57	1141.54
2066	10.69	561.10	1915.19
2067	11.49	344.13	3687.29
2071	13.20	179.39	1013.88
2072	14.22	91.08	1044.96
2073	14.21	222.97	2099.28
2074	12.62	529.36	2952.06
2077	11.12	667.79	1642.43
2078	12.84	593.68	3377.39
2080	10.04	1148.90	-1116.54
2081	11.23	1289.92	-935.66
2083	10.16	990.00	617.24
2084	11.91	1041.03	2129.82
2085	11.40	1080.83	2651.30
2086	13.51	781.08	1099.86
2087	13.26	832.06	1002.39
2089	14.28	859.97	1764.18
2090	9.86	1412.69	456.42
2091	11.53	1810.23	-321.08
2093	10.69	1710.60	2640.00
2094	10.30	1486.80	-1676.27
2095	11.17	1824.17	463.24
2096	10.61	2004.17	236.07
2097	11.30	2164.15	1206.62
2099	12.29	2046.12	1516.90
2100	12.21	2254.59	1349.35
2101	10.93	2653.03	-647.80
2102	11.33	2519.16	437.04
2103	11.57	2477.23	4048.33
2104	11.39	3060.74	-624.29
2105	9.22	2776.85	5955.60
2106	10.22	2941.93	2479.81
2108	11.87	3087.18	1596.93
2109	10.84	3668.30	-799.87
2110	9.70	3813.17	2296.96
2111	11.61	4099.41	-85.86
2112	12.68	4216.20	3741.57
2113	11.15	4730.89	423.27
2114	11.33	5169.27	329.56
2115	10.48	4891.45	3267.84
2116	10.81	5228.60	1163.88
2117	12.12	897.87	-4304.61
2118	11.51	1035.71	-4074.59
2119	10.92	1813.33	-4455.93
3201	12.13	-7673.40	-3491.02
3202	11.11	-5865.46	4182.67
3203	11.10	-5665.42	6415.35
3205	9.86	-4898.52	5411.77
