angDist,_RAJ2000,_DEJ2000,FTS,WEBDA,RAJ2000,DEJ2000,u'mag,g'mag,r'mag,i'mag,z'mag,Mm,Comm,PKM,_RAJ2000,_DEJ2000,PKM,RAJ2000,DEJ2000,pmRA,pmDE,MProb,Vmag,B-V,ICode
0.335253,11.469,85.206667,80,1115,00 45 52.56,+85 12 24,16.578,15.202,14.688,14.547,14.462,75,,PKM,11.4683662,85.2067436,4709,11.4683662,85.206744,-6.23,-0.02,75,15.764,0.692,
0.436299,11.089458,85.305278,81,,00 44 21.47,+85 18 19,16.547,15.17,14.694,,14.478,95,,PKM,11.0896898,85.3053977,4559,11.0896898,85.305398,-5.95,-0.42,95,15.016,0.674,D
0.632176,11.152292,85.239444,82,,00 44 36.55,+85 14 22,16.695,15.218,14.697,14.505,14.439,98,,PKM,11.1519732,85.2396176,4656,11.1519732,85.239618,-5.39,-0.44,98,14.898,0.716,D
0.344756,12.703167,85.304167,83,3090,00 50 48.76,+85 18 15,16.387,15.167,14.708,14.544,14.486,0,,PKM,12.7029086,85.3042604,5301,12.7029086,85.30426,0.9,-2.3,0,14.857,0.683,
0.711794,12.451667,85.241111,84,2129,00 49 48.40,+85 14 28,16.741,15.234,14.709,14.531,14.497,97,,PKM,12.4508553,85.2412969,5383,12.4508553,85.241297,-5.77,-0.25,97,14.884,0.749,
1.301964,13.182833,85.185,85,,00 52 43.88,+85 11 06,16.711,15.242,14.72,14.528,14.418,97,,PKM,13.1813513,85.1853396,5751,13.1813513,85.18534,-4.85,-0.25,97,14.917,0.765,
1.209602,10.969458,85.309444,86,,00 43 52.67,+85 18 34,16.653,15.23,14.723,14.547,14.468,89,,PKM,10.9698328,85.3097786,4257,10.9698328,85.309779,-5.17,0.39,89,14.914,0.713,
0.609569,12.322,85.285,87,2103,00 49 17.28,+85 17 06,16.65,15.226,14.726,14.544,14.507,98,,PKM,12.3217737,85.2851683,5320,12.3217737,85.285168,-5.66,-0.38,98,14.903,0.71,D
0.800192,11.907625,85.253611,88,1015,00 47 37.83,+85 15 13,16.931,15.293,14.726,14.532,14.472,97,,PKM,11.9074318,85.2538327,5018,11.9074318,85.253833,-5.79,-0.41,97,14.918,0.787,
0.306048,11.942917,85.214444,89,1097,00 47 46.30,+85 12 52,17.483,15.455,14.729,14.476,14.339,98,,PKM,11.9421588,85.2145008,5095,11.9421588,85.214501,-5.62,-0.57,98,14.988,0.961,
1.130943,11.098,85.328056,90,,00 44 23.52,+85 19 41,16.185,15.038,14.731,14.635,14.547,0,,PKM,11.0985449,85.328367,4535,11.0985449,85.328367,-5.41,1.5,0,14.856,0.486,D
0.578365,13.007125,85.259722,91,,00 52 01.71,+85 15 35,17.002,15.312,14.732,14.545,14.466,0,,PKM,13.006146,85.2598608,5669,13.006146,85.259861,-2.24,0.65,0,14.92,0.824,
0.400403,11.481792,85.258889,92,1048,00 45 55.63,+85 15 32,16.751,15.258,14.734,14.563,14.487,98,,PKM,11.4815184,85.2589979,4625,11.4815184,85.258998,-5.52,-0.39,98,14.926,0.731,
0.515562,13.106125,85.324167,93,,00 52 25.47,+85 19 27,16.645,15.229,14.734,14.554,14.494,90,,PKM,13.1055352,85.3243019,5612,13.1055352,85.324302,-5.86,-1.09,90,14.916,0.729,D
1.204597,11.191,85.256389,94,,00 44 45.84,+85 15 23,16.623,15.225,14.735,14.535,14.512,97,,PKM,11.1907997,85.2567232,4628,11.1907997,85.256723,-4.83,-0.43,97,15.086,0.687,
1.380097,11.103792,85.305278,95,,00 44 24.91,+85 18 19,16.624,15.215,14.747,14.579,14.521,0,,PKM,11.1046417,85.305655,4558,11.1046417,85.305655,-3.03,2.29,0,16.935,0.656,D
0.747453,12.12825,85.260556,96,1010,00 48 30.78,+85 15 38,16.694,15.256,14.757,14.594,14.503,98,,PKM,12.1280005,85.2607626,4998,12.1280005,85.260763,-5.59,-0.41,98,14.923,0.706,
0.569577,13.069167,85.1975,97,,00 52 16.60,+85 11 51,18.556,15.902,14.761,14.295,14.07,0,,PKM,13.0676621,85.1975957,5740,13.0676621,85.197596,9.26,1.61,0,15.243,1.276,D
0.073168,12.080917,85.311389,98,,00 48 19.42,+85 18 41,17.033,15.363,14.761,14.554,14.471,98,,PKM,12.0808512,85.3114086,4926,12.0808512,85.311409,-5.33,-0.52,98,14.985,0.819,
0.149228,12.351167,85.264722,99,2111,00 49 24.28,+85 15 53,18.621,15.939,14.763,14.286,14.017,0,,PKM,12.3506725,85.2647292,5345,12.3506725,85.264729,6.52,-17.72,0,15.268,1.292,
0.931323,11.831208,85.293056,100,2084,00 47 19.49,+85 17 35,16.709,15.269,14.765,14.588,14.518,97,,PKM,11.831296,85.2933146,4944,11.831296,85.293315,-5.82,-0.28,97,14.954,0.711,
0.591487,11.930458,85.2075,101,1099,00 47 43.31,+85 12 27,16.781,15.287,14.767,14.582,14.534,98,,PKM,11.9299444,85.2076586,5102,11.9299444,85.207659,-5.35,-0.38,98,14.94,0.734,
0.693695,11.921917,85.229167,102,1091,00 47 41.26,+85 13 45,16.695,15.262,14.769,14.607,14.526,96,,PKM,11.9214251,85.2293553,5067,11.9214251,85.229355,-5.69,-0.84,96,14.936,0.701,
0.577126,12.2195,85.202222,103,2153,00 48 52.68,+85 12 08,16.705,15.266,14.775,14.601,14.561,98,,PKM,12.2186625,85.2023662,5445,12.2186625,85.202366,-5.47,-0.58,98,14.936,0.711,
